Country;IDCountry;populationGroup;IDpopulationGroup;Category1;IDCategory1;Category2;IDCategory2;Category3;IDCategory3;avg_GramsPerDay;CategoryLevel
Hungary;99;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;36;3
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;36,037;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;36,518;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;36,724;2
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;36,808;2
France;75;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;37,356;2
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;37,5;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;NULL;NULL;37,955;2
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;Beer;10489515;37,955;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;38,03;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;38,2;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;38,385;3
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Wine;10489530;Dessert_wines;10489551;38,594;3
Germany;56;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;38,81;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;39,088;3
France;75;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;39,815;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;39,87;3
Belgium;22;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;39,906;3
Cyprus;54;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;40;2
Cyprus;54;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;40;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;40,132;2
France;75;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;40,422;3
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;41,423;2
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;41,57;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Wine;10489530;Wine-like drinks;10489548;41,65;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;42,194;2
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;42,438;3
Czech Republic;55;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;42,493;2
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;42,727;3
France;75;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;43,553;3
Belgium;22;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;43,779;3
Bulgaria;24;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;44,425;3
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;44,532;2
Netherlands;162;Adolescents;7;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;44,552;2
France;75;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;45,385;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;46,197;3
Latvia;132;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;46,25;2
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Beer;10489514;Beer-like beverages;10489526;46,25;3
Bulgaria;24;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;46,533;2
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;46,667;3
Belgium;22;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;47,575;2
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;47,854;3
Romania;185;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;49,533;2
Romania;185;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;49,533;3
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;50;3
Poland;175;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;50;2
Poland;175;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;50;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Beer;10489514;Beer-like beverages;10489526;50;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;50,167;3
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;50,445;3
Portugal;180;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;50,642;3
Bulgaria;24;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;50,75;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;50,803;2
Belgium;22;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;50,925;3
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;51,08;2
Romania;185;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;51,34;2
Romania;185;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;51,34;3
Belgium;22;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;51,359;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Beer;10489514;Beer-like beverages;10489526;51,429;3
United Kingdom;77;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;52,691;2
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;52,771;3
Italy;108;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;53,333;2
Italy;108;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;53,333;3
France;75;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;53,379;3
Belgium;22;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Flavoured wine;10489591;54,375;3
Italy;108;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;54,394;2
Italy;108;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;54,394;3
Czech Republic;55;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;54,656;2
Czech Republic;55;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;54,656;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;54,661;2
Germany;56;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;54,75;3
Belgium;22;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;54,814;2
Austria;14;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;55;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Wine;10489530;Dessert_wines;10489551;55,896;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;56,662;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;56,875;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Beer;10489514;Beer-like beverages;10489526;57,143;3
Czech Republic;55;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;57,605;3
France;75;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;57,979;3
Netherlands;162;Adolescents;7;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;58,256;3
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;58,258;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;58,693;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;58,75;3
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;59,039;2
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;59,417;3
Italy;108;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;NULL;NULL;59,667;2
Italy;108;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;Beer;10489515;59,667;3
Estonia;63;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;60;3
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;60,804;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;61,25;3
Belgium;22;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;61,291;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;61,461;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;61,738;1
Austria;14;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;62,5;3
Austria;14;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;63,333;2
United Kingdom;77;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;63,85;2
Latvia;132;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;64,412;2
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;64,436;2
Germany;56;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;64,624;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;65,503;2
Austria;14;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;65,714;3
Slovenia;196;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;66;2
Slovenia;196;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;66;3
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;66,183;2
Belgium;22;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;66,195;3
Estonia;63;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;66,346;2
Austria;14;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;66,667;2
Austria;14;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;66,667;3
Croatia;97;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;66,667;3
Hungary;99;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;66,667;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;66,752;3
France;75;Adults;10;Alcoholic_beverages;10489503;Beer;10489514;Beer-like beverages;10489526;66,857;3
Latvia;132;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;67,813;3
Bulgaria;24;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;68,107;2
Bulgaria;24;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;68,107;3
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;68,75;3
Finland;70;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;69,193;2
Austria;14;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;70;3
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;70,39;3
Finland;70;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;70,464;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;70,47;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;Beer;10489515;70,733;3
Netherlands;162;Adolescents;7;Alcoholic beverages;10489503;Wine;10489530;NULL;NULL;71,552;2
Slovakia;198;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;71,598;2
Slovakia;198;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;71,598;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;71,943;3
Estonia;63;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;72,174;3
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;74,55;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;74,895;2
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;75,5;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;75,577;2
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;75,957;3
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;76,792;2
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;77,1;3
Finland;70;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;77,5;3
Belgium;22;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;78,802;2
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;79,384;2
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Alcoholic beverages;10489503;NULL;NULL;79,853;2
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Alcoholic beverages;10489503;Alcoholic beverages;10489503;79,853;3
Estonia;63;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;80;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;81,117;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;NULL;NULL;81,461;2
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;81,591;3
Belgium;22;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;81,647;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;81,948;3
Bulgaria;24;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;83,75;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;85;3
Estonia;63;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;86,075;2
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;86,371;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;86,458;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;87,011;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;87,44;3
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;87,65;2
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;87,671;3
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;88,943;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Beer;10489514;Beer-like beverages;10489526;89,063;3
Bulgaria;24;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;89,167;2
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;89,694;2
Romania;185;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;89,751;2
Romania;185;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;89,866;3
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;90;3
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;90,052;3
France;75;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;90,081;3
Belgium;22;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;92,188;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;92,286;3
France;75;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Flavoured wine;10489591;92,808;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;92,917;2
France;75;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;93,112;3
Finland;70;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;93,75;2
Finland;70;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;93,75;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;93,945;2
France;75;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;Beer-like beverages;10489526;94,176;3
Bulgaria;24;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;94,286;2
Bulgaria;24;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;94,286;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;94,562;2
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;95;2
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;95;3
Belgium;22;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;95,313;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;95,57;2
Italy;108;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;96,311;2
Estonia;63;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;96,447;3
Austria;14;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;96,875;2
Austria;14;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;96,875;3
Italy;108;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;96,904;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Wine;10489530;Dessert_wines;10489551;96,907;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;97,229;2
Bulgaria;24;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;98,258;3
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;99,319;3
Austria;14;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;100;2
Austria;14;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;100;3
Bulgaria;24;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;100;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;100;3
Latvia;132;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;100;3
Poland;175;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;100;2
Poland;175;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;100;3
Slovakia;198;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;100;3
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;100,075;2
Germany;56;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Flavoured wine;10489591;102,5;3
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;103,734;2
France;75;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;104,311;2
Spain;67;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;104,871;3
Bulgaria;24;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;105,387;2
Bulgaria;24;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;105,387;3
Spain;67;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;105,698;2
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;106,464;2
Portugal;180;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;106,478;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;106,962;3
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;107,132;2
Portugal;180;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;107,143;2
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;107,5;2
Romania;185;Elderly;12;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;108,036;1
Estonia;63;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;108,333;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;108,333;3
Estonia;63;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;109,151;2
Austria;14;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;NULL;NULL;110;2
Austria;14;Adolescents;7;Alcoholic_beverages;10489503;Beer;10489514;Beer;10489515;110;3
Estonia;63;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;110,517;3
Portugal;180;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;110,596;2
Portugal;180;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;110,596;3
Latvia;132;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;111,389;3
Poland;175;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;112;2
Poland;175;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;112;3
Estonia;63;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;112,325;3
Belgium;22;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;112,5;3
United Kingdom;77;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;112,917;2
United Kingdom;77;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Flavoured wine;10489591;112,917;3
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;113,333;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;114,772;3
Austria;14;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;115,058;3
France;75;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;115,554;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;115,64;3
Netherlands;162;Adolescents;7;Alcoholic beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;116,294;2
